Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
58:44.5,-0.21,0.81,0.56,-1,34.9,0.296,0,0.0009,0.0009,0,0.0018,0.0424
58:44.5,-0.24,0.77,0.54,-1,34.9,0.296,0,0.0009,0.0016,0.0004,0.0029,0.0539
58:44.5,-0.25,0.77,0.51,-1,34.9,0.296,0,0.0001,0,0.0009,0.001,0.0316
58:44.6,-0.27,0.91,0.48,-1,34.9,0.296,0,0.0004,0.0196,0.0009,0.0209,0.1446
58:44.6,-0.27,0.88,0.45,-1,34.9,0.296,0,0,0.0009,0.0009,0.0018,0.0424
58:44.6,-0.29,0.85,0.42,-1,34.9,0.296,0,0.0004,0.0009,0.0009,0.0022,0.0469
58:44.7,-0.31,0.92,0.33,-1,34.9,0.296,0,0.0004,0.0049,0.0081,0.0134,0.1158
58:44.7,-0.29,0.76,0.25,-1,34.9,0.296,0,0.0004,0.0256,0.0064,0.0324,0.18
58:44.7,-0.3,0.71,0.09,-1,34.9,0.296,0,0.0001,0.0025,0.0256,0.0282,0.1679
58:44.7,-0.34,0.79,-0.06,-1,34.9,0.296,0,0.0016,0.0064,0.0225,0.0305,0.1746
58:44.8,-0.36,0.81,-0.12,-1,34.9,0.296,0,0.0004,0.0004,0.0036,0.0044,0.0663
58:44.8,-0.37,0.84,-0.13,-1,34.9,0.296,0,0.0001,0.0009,0.0001,0.0011,0.0332
58:44.8,-0.36,0.84,-0.16,-1,34.7,0.296,0,0.0001,0,0.0009,0.001,0.0316
58:44.9,-0.38,0.79,-0.14,-1,34.9,0.296,0,0.0004,0.0025,0.0004,0.0033,0.0574
58:44.9,-0.37,0.82,-0.13,-1,34.9,0.296,0,0.0001,0.0009,0.0001,0.0011,0.0332
58:44.9,-0.36,0.83,-0.16,-1,34.7,0.294,0,0.0001,0.0001,0.0009,0.0011,0.0332
58:45.0,-0.39,0.8,-0.17,-1,34.9,0.296,0,0.0009,0.0009,0.0001,0.0019,0.0436
58:45.0,-0.39,0.82,-0.14,-1,34.9,0.296,0,0,0.0004,0.0009,0.0013,0.0361
58:45.0,-0.38,0.85,-0.13,-1,34.9,0.294,0,0.0001,0.0009,0.0001,0.0011,0.0332

