Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
42:12.5,-0.19,0.37,-0.72,-1,33.5,1.166
42:12.5,-0.21,0.42,-0.81,-1,33.5,1.166
42:12.6,-0.25,0.4,-0.68,-1,33.5,1.166
42:12.6,-0.28,0.42,-0.76,-1,33.5,1.166
42:12.6,-0.28,0.39,-0.88,-1,33.5,1.169
42:12.7,-0.24,0.44,-0.92,-1,33.5,1.175
42:12.7,-0.23,0.38,-0.8,-1,33.5,1.175
42:12.7,-0.21,0.23,-0.82,-1,33.3,1.175
42:12.8,-0.19,0.31,-0.85,-1,33.5,1.178
42:12.8,-0.22,0.31,-0.89,-1,33.5,1.185
42:12.8,-0.24,0.26,-0.92,-1,33.5,1.188
42:12.8,-0.27,0.31,-0.87,-1,33.5,1.188
42:12.9,-0.28,0.31,-0.85,-1,33.5,1.195
42:12.9,-0.28,0.29,-0.84,-1,33.5,1.195
42:12.9,-0.3,0.29,-0.8,-1,33.5,1.195
