,name,emotion,numerical,X-m,X-s,X-md,X-nmd,X-md2,X-nmd2,Y-m,Y-s,Y-md,Y-nmd,Y-md2,Y-nmd2,Z-m,Z-s,Z-md,Z-nmd,Z-md2,Z-nmd2,T-m,T-s,T-md,T-nmd,T-md2,T-nmd2,E-m,E-s,E-md,E-nmd,E-md2,E-nmd2,dist-m,t-diff,e-diff
243,jo_re_01,re,1,-0.8470000000000001,0.3631333333333333,-0.08926666666666666,35.44133333333334,0.2910866666666667,0.2964233096831117,0.23120964851406078,0.14995344542284933,0.08449349021163313,0.019612328907861916,0.1325503355704698,0.09026845637583894,0.06744966442953021,0.032214765100671505,0.0010604026845637564,0.4471656959507381,0.3904182068351242,0.4498040324404076,0.38126919624201,0.054068167505526434,0.16141891891891894,0.10141891891891892,0.07749999999999999,0.028378378378378685,0.0016554054054054045,0.5445554166825888,0.4386448384430256,0.5168270711050353,0.3358646720273786,0.08440636566837346,0.1912300884758739,0.3999999999999986,0.059
244,ii_ha_04,ha,4,0.8915384615384615,0.4175384615384615,-0.14738461538461542,33.52769230769231,0.2091230769230769,0.43114393902019094,0.32547576123859995,0.14168932699612694,0.06961432213383956,0.0011525473459322152,0.28421874999999996,0.19250000000000003,0.06390625,0.05000000000000071,0.0004999999999999996,0.6592200986192912,0.5914418919167441,0.45103079642510313,0.7182430061427788,0.43382165753510493,0.35301587301587317,0.22761904761904764,0.08650793650793649,0.050793650793651515,0.00041269841269841393,0.818788903348914,0.6993425462862181,0.6105465975591879,0.7296436887799658,0.35807501891786575,0.3879960420140496,0.20000000000000284,0.007000000000000006
245,ps_re_04,re,4,1.0523863636363637,0.2777272727272727,-0.31272727272727274,32.0,0.09834090909090909,0.2421075771064838,0.2810396432653752,0.14486400497467986,0.0,0.003956331644793513,0.15666666666666668,0.16781609195402297,0.04172413793103447,0.0,0.0008505747126436781,0.6470952645887721,0.5971260495643332,0.2880228110380301,,0.21499075128421669,0.155,0.15465116279069765,0.04732558139534884,0.0,0.0013488372093023253,0.6402112724122957,0.5502823765139295,0.3266897211879561,,0.34093127937779927,0.26363140521718204,0.0,0.016
246,as_ha_01,ha,1,0.995,0.18166666666666667,-0.10187500000000001,34.300000000000004,0.07152083333333334,0.1404400379354803,0.10236217164752398,0.054486236794258416,7.180619159042739e-15,0.018982623166188164,0.12085106382978723,0.08468085106382979,0.027872340425531918,0.0,0.001829787234042553,0.8605171687956076,0.8272670430969518,0.5115482746730825,0.0,0.09639274920137322,0.1726086956521739,0.10673913043478261,0.04152173913043478,0.0,0.003521739130434782,1.2290561736495134,1.0427595342772753,0.7620592203352574,0.0,0.1855243661322689,0.16700462395001434,0.0,0.059
247,ii_sa_01,sa,1,0.8323076923076923,0.5109230769230769,-0.1483076923076923,34.2723076923077,0.14635384615384617,0.10429479299636127,0.1574873316028455,0.13297755015849044,0.06961432213383707,0.0026776317032895904,0.0828125,0.10203124999999999,0.06015625,0.046874999999999,0.0007031250000000002,0.7940233411546177,0.6478695712319534,0.45237899125305175,0.6733528182588553,0.2625921253980447,0.0953968253968254,0.129047619047619,0.06047619047619046,0.025396825396824856,0.000730158730158729,0.914684450259695,0.8194158713226134,0.4547849648614476,0.36482184438998294,0.2726882600253412,0.1666098012898233,0.19999999999999574,0.009000000000000008
248,em_an_04,an,4,1.2493939393939393,0.05393939393939393,0.1339393939393939,34.49393939393939,0.14263636363636364,0.9668018779523141,0.49599608991616173,0.3742487424322508,0.034815531191140066,0.003975064321949565,0.8378125,0.5603125,0.37124999999999997,0.012500000000000178,0.0022499999999999985,0.8665813742257994,1.1296712038490258,0.9919873012457919,0.35903516540862673,0.5660285765882875,1.154838709677419,0.517741935483871,0.3812903225806452,0.012903225806451797,0.003935483870967741,1.1944936558494972,1.0438427762029032,1.0188152406408395,0.3706169449379373,0.9900428149644603,1.1468144487151057,0.20000000000000284,0.014000000000000012
249,df_an_02,an,2,1.0360869565217392,-0.2739130434782609,0.301304347826087,35.095652173913045,0.29995652173913034,1.2887017397028078,0.9830228848276431,0.7085087049431624,0.14609542606730427,0.0022049172499328386,1.2422727272727274,0.8222727272727273,0.5936363636363637,0.1363636363636383,0.0010000000000000009,0.9639722590575632,0.8364736365388882,0.8378674242033287,0.9333874443188751,0.45353175953903063,1.247142857142857,1.044761904761905,0.6638095238095237,0.1142857142857159,0.0019523809523809541,0.967751356827116,1.0628052722751076,0.9369108935122759,0.7822675723815334,0.8854667686238218,1.707684086192085,0.30000000000000426,0.008000000000000007
250,sn_sa_04,sa,4,1.2007142857142858,0.25285714285714284,-0.14285714285714285,35.48571428571429,0.04885714285714287,0.25354302580443017,0.2994720629433011,0.25128679819094146,0.10271051820262056,0.0005345224838248492,0.3638461538461539,0.3353846153846154,0.21769230769230766,0.07692307692307801,0.000307692307692308,1.4350469814413502,1.1199195413700864,0.8663101653549389,0.7489308618940975,0.5756395979652219,0.20083333333333334,0.3941666666666667,0.2675,0.15000000000000213,0.00033333333333333365,0.7921075040267354,1.3162051337700043,1.0645207067214844,1.4604151806934904,0.6236095644623237,0.5825604074757844,0.20000000000000284,0.0020000000000000018
251,ps_re_02,re,2,1.1106451612903225,0.25032258064516133,-0.17362903225806453,32.0,0.08736290322580646,0.24819262757564053,0.2270379628148997,0.09083474387584754,0.0,0.0033769536409310724,0.15650406504065037,0.12325203252032517,0.03552845528455284,0.0,0.0009268292682926816,0.6305749955967299,0.5428697077449136,0.3911328833944085,,0.27445720813541935,0.14631147540983608,0.12631147540983606,0.042786885245901636,0.0,0.0009016393442622936,0.5895077417851399,0.5563451761272881,0.47104096318455557,,0.2669978448426965,0.22351152516275294,0.0,0.012999999999999998
252,dy_sa_04,sa,4,0.0725,-0.826,-0.22349999999999998,35.30999999999999,0.32299999999999995,0.08925864251240825,0.4872522312335832,0.20228367262467406,0.1020835571068059,0.003769685174625263,0.06526315789473686,0.20210526315789473,0.09157894736842107,0.09473684210526113,0.0012631578947368432,0.7311690617036253,0.41478571097811506,0.45272535435096944,0.928032337334619,0.3350831266333564,0.08166666666666668,0.27666666666666667,0.1227777777777778,0.1333333333333305,0.0017777777777777794,0.9149440812447245,0.5678099533094509,0.6069584172796044,1.3061195858783528,0.4715984745210201,0.24983994406078858,0.19999999999999574,0.018000000000000016
